measure,n,agree_n,agreement,kappa
action_1,556,551,0.9910071942446,-0.002886002886
action_2,556,470,0.84532374100719,0.67972779273667
action_3,556,537,0.96582733812949,0.32781878340544
action_4,556,530,0.95323741007194,0.33080270345338
action_5,556,509,0.91546762589928,0.83042180402336
action_6,556,506,0.91007194244604,0.80864537444933
action_7,556,545,0.98021582733812,0.34377682403433
category,556,471,0.84712230215827,0.75826210607618
action_set,556,412,0.7410071942446,
