arm,_TYPE_,_FREQ_,mean_fp,mean_fn,mean_rec,mean_fpr,mean_f1,std_fp,std_fn,std_rec,std_fpr,std_f1
BASE,1,5,10,14.2,0.9782208,0.006006,0.9813732,5.366563146,6.4311740763,0.0098638226,0.0032230311,0.0056343024
DUP,1,5,7.4,13.8,0.9788344,0.0044442,0.9836582,1.8547236991,3.1240998704,0.0047916266,0.0011139773,0.0021754199
FLIP,1,5,7.6,16,0.9754602,0.0045644,0.9817708,2.9393876913,5.5497747702,0.008511913,0.001765252,0.0048882293
