arm,is_truncated,n_total,n_normal,n_smishing,mean_tp,mean_tn,mean_fp,mean_fn,recall,fnr,fpr,f1
BASE,0,1986,1391,595,590.20,1385.80,5.20,4.80,0.991933,0.008067,0.003738,0.991599
BASE,1,331,274,57,47.60,269.20,4.80,9.40,0.835088,0.164912,0.017518,0.870201
DUP,0,1986,1391,595,590.80,1386.20,4.80,4.20,0.992941,0.007059,0.003451,0.992441
DUP,1,331,274,57,47.40,271.40,2.60,9.60,0.831579,0.168421,0.009489,0.885981
FLIP,0,1986,1391,595,589.60,1386.20,4.80,5.40,0.990924,0.009076,0.003451,0.991424
FLIP,1,331,274,57,46.40,271.20,2.80,10.60,0.814035,0.185965,0.010219,0.873823
