model,recall,fpr,f1
LR-A,0.6668483681635092,0.009423503325942351,0.7924363073409137
LR-B,0.6391919384210314,0.009423503325942351,0.7734250871080139
LR-C,0.7967403078418069,0.024551552106430157,0.8743426175501647
Kc-A,0.9045977105087277,0.03314855875831486,0.9368128604037428
Kc-C,0.9277910508284682,0.03314855875831486,0.9487394799144243
FAGE,0.900704421655791,0.0439440133037694,0.9305387699270757
Stacking,0.865288368998359,0.03314855875831486,0.9139726368752701
