a_category,b_category,n
1,1,228
1,2,26
1,3,4
1,4,7
2,1,1
2,2,181
2,3,5
2,4,5
3,1,6
3,2,17
3,3,58
3,4,1
4,1,1
4,2,12
4,3,0
4,4,4
