message_id,url_id,url_host_defanged,url_length,hostname_length,path_length,path_depth,digit_ratio,special_ratio,subdomain_count,has_ip_literal,has_port,has_punycode,has_at_symbol,is_malformed,suspicious_token_count,hostname_entropy
msg-caac6f247eab53782bdb,url-008ac1415c368c1d88c9,hxxps://kko[.]to,17,6,11,1,0.11764705882352941,0.11764705882352941,0,0,0,0,0,0,0,1.9182958340544896
msg-d12fbc1beed86bc99252,url-58ba9e98c3810f9ea968,hxxp://ecredit[.]uplus[.]co[.]kr,19,19,0,0,0.0,0.15789473684210525,2,0,0,0,0,0,0,3.5766176449086657
msg-5a6ff41aa9722bc88706,url-1e239128c4762e4a33f5,hxxp://vo[.]la,11,5,6,1,0.0,0.18181818181818182,0,0,0,0,0,0,0,2.321928094887362
msg-cc4bc145dc58fae4132a,url-a9f317be98c50417416f,hxxps://shorturl[.]at,17,11,6,1,0.058823529411764705,0.11764705882352941,0,0,0,0,0,0,0,3.095795255000934
msg-1f9076a4ec4db45e80ee,url-e78e02bc2b0ddeadaecb,hxxps://youtu[.]be,20,8,12,1,0.15,0.1,0,0,0,0,0,0,0,2.75
msg-95c7d8bedb38242c20f7,url-b43cade6b3b11d33ddde,hxxp://vo[.]la,11,5,6,1,0.0,0.18181818181818182,0,0,0,0,0,0,0,2.321928094887362
msg-5c8fac6ba2ef477cb6fc,url-9c0334599ea656a94e4e,hxxp://u2[.]to,12,5,7,1,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,2.321928094887362
msg-23b949fd96dae3784f8d,url-e1cc02a7367485c69c8a,hxxps://forms[.]gle,27,9,18,1,0.07407407407407407,0.07407407407407407,0,0,0,0,0,0,0,3.169925001442312
msg-6ffae768f85635a8e7d7,url-0d873cf3e081d8f1b5d8,hxxps://forms[.]gle,27,9,18,1,0.1111111111111111,0.07407407407407407,0,0,0,0,0,0,0,3.169925001442312
msg-f09e811af0e300064e7c,url-e1cb43391be1931cfcb5,hxxp://wmp[.]co[.]kr,14,9,5,1,0.14285714285714285,0.21428571428571427,1,0,0,0,0,0,0,2.94770277922009
msg-c9c9b18dfbfb85a69b60,url-02499d9fa56d189ace39,hxxps://zrr[.]kr,11,6,5,1,0.09090909090909091,0.18181818181818182,0,0,0,0,0,0,0,1.792481250360578
msg-85f4d95af13cd6c5dc00,url-46b8b488235b5ac5712e,hxxp://ipns[.]kr,16,7,9,2,0.125,0.1875,0,0,0,0,0,0,0,2.8073549220576037
msg-beca063082959ef78db1,url-85168ee6a3c5573be3ee,hxxp://vo[.]la,11,5,6,1,0.0,0.18181818181818182,0,0,0,0,0,0,0,2.321928094887362
msg-1020befa2f677b892a8b,url-88c2f77a187d09193fba,hxxps://m[.]site[.]naver[.]com,22,16,6,1,0.045454545454545456,0.18181818181818182,2,0,0,0,0,0,0,3.452819531114783
msg-b1a7f0ed0d339d33c2f9,url-678e490fe153ccb372b4,hxxp://ipns[.]kr,16,7,9,2,0.125,0.1875,0,0,0,0,0,0,0,2.8073549220576037
msg-1f0d0fbab0ad066091b1,url-1dfd46af16a4e240cc42,hxxps://url[.]kr,13,6,7,1,0.07692307692307693,0.15384615384615385,0,0,0,0,0,0,0,2.2516291673878226
msg-d196d2ab044d4fe78423,url-0c9182dcc7c23ba860fe,hxxp://ipns[.]kr,16,7,9,2,0.1875,0.1875,0,0,0,0,0,0,0,2.8073549220576037
msg-c0454931690a031010a4,url-c2463ff3ea861fef7a36,hxxps://internship[.]inha[.]ac[.]kr,21,21,0,0,0.0,0.14285714285714285,2,0,0,0,0,0,0,3.4273334938982645
msg-132bd64b817db7fcc02e,url-9cf2eb05fbe30dfcad3e,hxxps://ipns[.]kr,13,7,6,1,0.07692307692307693,0.23076923076923078,0,0,0,0,0,0,0,2.8073549220576037
msg-f4cf02f30faa9f1a0341,url-d27c80caf65be6a75cf7,hxxps://url[.]kr,13,6,7,1,0.0,0.15384615384615385,0,0,0,0,0,0,0,2.2516291673878226
msg-5f29f56cd3d0a81ad0f0,url-813b67ac05481d3d01ed,hxxps://url[.]kr,13,6,7,1,0.23076923076923078,0.15384615384615385,0,0,0,0,0,0,0,2.2516291673878226
