cohort,seed,condition,n,tp,tn,fp,fn,baseline_tp,baseline_tn,baseline_fp,baseline_fn,corrected_fp,corrected_fn,new_fp,new_fn,threshold,recall,fpr
kisa_representatives,202,ocr_delete300,18,9,0,0,9,9,0,0,9,0,0,0,0,0.98577636480331421,0.5,
kisa_representatives,202,ocr_unk128,18,9,0,0,9,9,0,0,9,0,0,0,0,0.98577636480331421,0.5,
kisa_representatives,202,ocr_unk300,18,11,0,0,7,9,0,0,9,0,2,0,0,0.98577636480331421,0.61111111111111116,
kisa_representatives,202,head_tail128,18,9,0,0,9,9,0,0,9,0,0,0,0,0.98577636480331421,0.5,
kisa_representatives,303,original128,18,9,0,0,9,9,0,0,9,0,0,0,0,0.022119643166661263,0.5,
kisa_representatives,303,ocr_delete128,18,9,0,0,9,9,0,0,9,0,0,0,0,0.022119643166661263,0.5,
kisa_representatives,303,cap300,18,10,0,0,8,9,0,0,9,0,1,0,0,0.022119643166661263,0.55555555555555558,
kisa_representatives,303,ocr_delete300,18,10,0,0,8,9,0,0,9,0,1,0,0,0.022119643166661263,0.55555555555555558,
kisa_representatives,303,ocr_unk128,18,9,0,0,9,9,0,0,9,0,0,0,0,0.022119643166661263,0.5,
kisa_representatives,303,ocr_unk300,18,11,0,0,7,9,0,0,9,0,2,0,0,0.022119643166661263,0.61111111111111116,
kisa_representatives,303,head_tail128,18,9,0,0,9,9,0,0,9,0,0,0,0,0.022119643166661263,0.5,
kisa_representatives,404,original128,18,9,0,0,9,9,0,0,9,0,0,0,0,0.026118576526641846,0.5,
kisa_representatives,404,ocr_delete128,18,9,0,0,9,9,0,0,9,0,0,0,0,0.026118576526641846,0.5,
kisa_representatives,404,cap300,18,9,0,0,9,9,0,0,9,0,0,0,0,0.026118576526641846,0.5,
kisa_representatives,404,ocr_delete300,18,9,0,0,9,9,0,0,9,0,0,0,0,0.026118576526641846,0.5,
kisa_representatives,404,ocr_unk128,18,9,0,0,9,9,0,0,9,0,0,0,0,0.026118576526641846,0.5,
kisa_representatives,404,ocr_unk300,18,9,0,0,9,9,0,0,9,0,0,0,0,0.026118576526641846,0.5,
kisa_representatives,404,head_tail128,18,9,0,0,9,9,0,0,9,0,0,0,0,0.026118576526641846,0.5,
normal_candidates,42,original128,250,0,239,11,0,0,239,11,0,0,0,0,0,0.025057008489966393,,0.043999999999999997
normal_candidates,42,ocr_delete128,250,0,239,11,0,0,239,11,0,0,0,0,0,0.025057008489966393,,0.043999999999999997
normal_candidates,42,cap300,250,0,226,24,0,0,239,11,0,0,0,13,0,0.025057008489966393,,0.096000000000000002
normal_candidates,42,ocr_delete300,250,0,226,24,0,0,239,11,0,0,0,13,0,0.025057008489966393,,0.096000000000000002
normal_candidates,42,ocr_unk128,250,0,239,11,0,0,239,11,0,0,0,0,0,0.025057008489966393,,0.043999999999999997
normal_candidates,42,ocr_unk300,250,0,226,24,0,0,239,11,0,0,0,13,0,0.025057008489966393,,0.096000000000000002
normal_candidates,42,head_tail128,250,0,233,17,0,0,239,11,0,0,0,6,0,0.025057008489966393,,0.068000000000000005
normal_candidates,101,original128,250,0,236,14,0,0,236,14,0,0,0,0,0,0.060474295169115067,,0.056000000000000001
normal_candidates,101,ocr_delete128,250,0,236,14,0,0,236,14,0,0,0,0,0,0.060474295169115067,,0.056000000000000001
normal_candidates,101,cap300,250,0,234,16,0,0,236,14,0,1,0,3,0,0.060474295169115067,,0.064000000000000001
normal_candidates,101,ocr_delete300,250,0,234,16,0,0,236,14,0,1,0,3,0,0.060474295169115067,,0.064000000000000001
normal_candidates,101,ocr_unk128,250,0,236,14,0,0,236,14,0,0,0,0,0,0.060474295169115067,,0.056000000000000001
normal_candidates,101,ocr_unk300,250,0,234,16,0,0,236,14,0,1,0,3,0,0.060474295169115067,,0.064000000000000001
normal_candidates,101,head_tail128,250,0,232,18,0,0,236,14,0,0,0,4,0,0.060474295169115067,,0.071999999999999995
normal_candidates,202,original128,250,0,243,7,0,0,243,7,0,0,0,0,0,0.98577636480331421,,0.028000000000000001
normal_candidates,202,ocr_delete128,250,0,243,7,0,0,243,7,0,0,0,0,0,0.98577636480331421,,0.028000000000000001
normal_candidates,202,cap300,250,0,243,7,0,0,243,7,0,1,0,1,0,0.98577636480331421,,0.028000000000000001
normal_candidates,202,ocr_delete300,250,0,243,7,0,0,243,7,0,1,0,1,0,0.98577636480331421,,0.028000000000000001
normal_candidates,202,ocr_unk128,250,0,243,7,0,0,243,7,0,0,0,0,0,0.98577636480331421,,0.028000000000000001
normal_candidates,202,ocr_unk300,250,0,243,7,0,0,243,7,0,1,0,1,0,0.98577636480331421,,0.028000000000000001
normal_candidates,202,head_tail128,250,0,242,8,0,0,243,7,0,0,0,1,0,0.98577636480331421,,0.032000000000000001
normal_candidates,303,original128,250,0,231,19,0,0,231,19,0,0,0,0,0,0.022119643166661263,,0.075999999999999998
normal_candidates,303,ocr_delete128,250,0,231,19,0,0,231,19,0,0,0,0,0,0.022119643166661263,,0.075999999999999998
normal_candidates,303,cap300,250,0,221,29,0,0,231,19,0,0,0,10,0,0.022119643166661263,,0.11600000000000001
normal_candidates,303,ocr_delete300,250,0,221,29,0,0,231,19,0,0,0,10,0,0.022119643166661263,,0.11600000000000001
normal_candidates,303,ocr_unk128,250,0,231,19,0,0,231,19,0,0,0,0,0,0.022119643166661263,,0.075999999999999998
normal_candidates,303,ocr_unk300,250,0,221,29,0,0,231,19,0,0,0,10,0,0.022119643166661263,,0.11600000000000001
normal_candidates,303,head_tail128,250,0,228,22,0,0,231,19,0,2,0,5,0,0.022119643166661263,,0.087999999999999995
normal_candidates,404,original128,250,0,239,11,0,0,239,11,0,0,0,0,0,0.026118576526641846,,0.043999999999999997
normal_candidates,404,ocr_delete128,250,0,239,11,0,0,239,11,0,0,0,0,0,0.026118576526641846,,0.043999999999999997
normal_candidates,404,cap300,250,0,232,18,0,0,239,11,0,0,0,7,0,0.026118576526641846,,0.071999999999999995
normal_candidates,404,ocr_delete300,250,0,232,18,0,0,239,11,0,0,0,7,0,0.026118576526641846,,0.071999999999999995
normal_candidates,404,ocr_unk128,250,0,239,11,0,0,239,11,0,0,0,0,0,0.026118576526641846,,0.043999999999999997
normal_candidates,404,ocr_unk300,250,0,232,18,0,0,239,11,0,0,0,7,0,0.026118576526641846,,0.071999999999999995
normal_candidates,404,head_tail128,250,0,232,18,0,0,239,11,0,0,0,7,0,0.026118576526641846,,0.071999999999999995
