arm,recall_mean,recall_std,fpr_mean,fpr_std,f1_mean,f1_std,brier_mean,brier_std,group_std_all,group_std_multi,group_std_singleton
DUP,0.970303,0.007016,0.008873,0.001144,0.966197,0.004589,0.012178,0.001563,0.006167,0.011112,0.005886
FLIP,0.961818,0.005620,0.006761,0.001517,0.966212,0.005212,0.011583,0.001183,0.005771,0.013670,0.005322
BASE,0.966061,0.014005,0.009437,0.003137,0.962841,0.004368,0.012726,0.000765,0.007722,0.014283,0.007349
