cohort,condition,seed,n,tp,tn,fp,fn,baseline_tp,baseline_tn,baseline_fp,baseline_fn,corrected_fp,corrected_fn,new_fp,new_fn,threshold,recall,fpr
kisa_unique,cap300,303,22,14,0,0,8,13,0,0,9,0,1,0,0,0.0221196432,0.6363636364,
kisa_unique,head_tail128,303,22,13,0,0,9,13,0,0,9,0,0,0,0,0.0221196432,0.5909090909,
kisa_unique,ocr_delete128,303,22,13,0,0,9,13,0,0,9,0,0,0,0,0.0221196432,0.5909090909,
kisa_unique,ocr_delete300,303,22,14,0,0,8,13,0,0,9,0,1,0,0,0.0221196432,0.6363636364,
kisa_unique,ocr_unk128,303,22,13,0,0,9,13,0,0,9,0,0,0,0,0.0221196432,0.5909090909,
kisa_unique,ocr_unk300,303,22,15,0,0,7,13,0,0,9,0,2,0,0,0.0221196432,0.6818181818,
kisa_unique,original128,303,22,13,0,0,9,13,0,0,9,0,0,0,0,0.0221196432,0.5909090909,
kisa_unique,cap300,404,22,13,0,0,9,13,0,0,9,0,0,0,0,0.0261185765,0.5909090909,
kisa_unique,head_tail128,404,22,13,0,0,9,13,0,0,9,0,0,0,0,0.0261185765,0.5909090909,
kisa_unique,ocr_delete128,404,22,13,0,0,9,13,0,0,9,0,0,0,0,0.0261185765,0.5909090909,
kisa_unique,ocr_delete300,404,22,13,0,0,9,13,0,0,9,0,0,0,0,0.0261185765,0.5909090909,
kisa_unique,ocr_unk128,404,22,13,0,0,9,13,0,0,9,0,0,0,0,0.0261185765,0.5909090909,
kisa_unique,ocr_unk300,404,22,13,0,0,9,13,0,0,9,0,0,0,0,0.0261185765,0.5909090909,
kisa_unique,original128,404,22,13,0,0,9,13,0,0,9,0,0,0,0,0.0261185765,0.5909090909,
normal_candidates,cap300,42,250,0,226,24,0,0,239,11,0,0,0,13,0,0.0250570085,,0.096
normal_candidates,head_tail128,42,250,0,233,17,0,0,239,11,0,0,0,6,0,0.0250570085,,0.068
normal_candidates,ocr_delete128,42,250,0,239,11,0,0,239,11,0,0,0,0,0,0.0250570085,,0.044
normal_candidates,ocr_delete300,42,250,0,226,24,0,0,239,11,0,0,0,13,0,0.0250570085,,0.096
normal_candidates,ocr_unk128,42,250,0,239,11,0,0,239,11,0,0,0,0,0,0.0250570085,,0.044
normal_candidates,ocr_unk300,42,250,0,226,24,0,0,239,11,0,0,0,13,0,0.0250570085,,0.096
normal_candidates,original128,42,250,0,239,11,0,0,239,11,0,0,0,0,0,0.0250570085,,0.044
normal_candidates,cap300,101,250,0,234,16,0,0,236,14,0,1,0,3,0,0.0604742952,,0.064
normal_candidates,head_tail128,101,250,0,232,18,0,0,236,14,0,0,0,4,0,0.0604742952,,0.072
normal_candidates,ocr_delete128,101,250,0,236,14,0,0,236,14,0,0,0,0,0,0.0604742952,,0.056
normal_candidates,ocr_delete300,101,250,0,234,16,0,0,236,14,0,1,0,3,0,0.0604742952,,0.064
normal_candidates,ocr_unk128,101,250,0,236,14,0,0,236,14,0,0,0,0,0,0.0604742952,,0.056
normal_candidates,ocr_unk300,101,250,0,234,16,0,0,236,14,0,1,0,3,0,0.0604742952,,0.064
normal_candidates,original128,101,250,0,236,14,0,0,236,14,0,0,0,0,0,0.0604742952,,0.056
normal_candidates,cap300,202,250,0,243,7,0,0,243,7,0,1,0,1,0,0.9857763648,,0.028
normal_candidates,head_tail128,202,250,0,242,8,0,0,243,7,0,0,0,1,0,0.9857763648,,0.032
normal_candidates,ocr_delete128,202,250,0,243,7,0,0,243,7,0,0,0,0,0,0.9857763648,,0.028
normal_candidates,ocr_delete300,202,250,0,243,7,0,0,243,7,0,1,0,1,0,0.9857763648,,0.028
normal_candidates,ocr_unk128,202,250,0,243,7,0,0,243,7,0,0,0,0,0,0.9857763648,,0.028
normal_candidates,ocr_unk300,202,250,0,243,7,0,0,243,7,0,1,0,1,0,0.9857763648,,0.028
normal_candidates,original128,202,250,0,243,7,0,0,243,7,0,0,0,0,0,0.9857763648,,0.028
normal_candidates,cap300,303,250,0,221,29,0,0,231,19,0,0,0,10,0,0.0221196432,,0.116
normal_candidates,head_tail128,303,250,0,228,22,0,0,231,19,0,2,0,5,0,0.0221196432,,0.088
normal_candidates,ocr_delete128,303,250,0,231,19,0,0,231,19,0,0,0,0,0,0.0221196432,,0.076
normal_candidates,ocr_delete300,303,250,0,221,29,0,0,231,19,0,0,0,10,0,0.0221196432,,0.116
normal_candidates,ocr_unk128,303,250,0,231,19,0,0,231,19,0,0,0,0,0,0.0221196432,,0.076
normal_candidates,ocr_unk300,303,250,0,221,29,0,0,231,19,0,0,0,10,0,0.0221196432,,0.116
normal_candidates,original128,303,250,0,231,19,0,0,231,19,0,0,0,0,0,0.0221196432,,0.076
normal_candidates,cap300,404,250,0,232,18,0,0,239,11,0,0,0,7,0,0.0261185765,,0.072
normal_candidates,head_tail128,404,250,0,232,18,0,0,239,11,0,0,0,7,0,0.0261185765,,0.072
normal_candidates,ocr_delete128,404,250,0,239,11,0,0,239,11,0,0,0,0,0,0.0261185765,,0.044
normal_candidates,ocr_delete300,404,250,0,232,18,0,0,239,11,0,0,0,7,0,0.0261185765,,0.072
normal_candidates,ocr_unk128,404,250,0,239,11,0,0,239,11,0,0,0,0,0,0.0261185765,,0.044
normal_candidates,ocr_unk300,404,250,0,232,18,0,0,239,11,0,0,0,7,0,0.0261185765,,0.072
normal_candidates,original128,404,250,0,239,11,0,0,239,11,0,0,0,0,0,0.0261185765,,0.044
