action_code,a_value,b_value,n
1,0,0,551
1,0,1,1
1,1,0,4
1,1,1,0
2,0,0,293
2,0,1,16
2,1,0,70
2,1,1,177
3,0,0,532
3,0,1,7
3,1,0,12
3,1,1,5
4,0,0,523
4,0,1,22
4,1,0,4
4,1,1,7
5,0,0,270
5,0,1,21
5,1,0,26
5,1,1,239
6,0,0,323
6,0,1,41
6,1,0,9
6,1,1,183
7,0,0,542
7,0,1,3
7,1,0,8
7,1,1,3
