model,recall,fpr,f1
FAGE,0.90070442165579,0.04394401330376,0.93053876992707
Kc-A,0.90459771050872,0.03314855875831,0.93681286040374
Kc-C,0.92779105082846,0.03314855875831,0.94873947991442
LR-A,0.6668483681635,0.00942350332594,0.79243630734091
LR-B,0.63919193842103,0.00942350332594,0.77342508710801
LR-C,0.7967403078418,0.02455155210643,0.87434261755016
Stacking,0.86528836899835,0.03314855875831,0.91397263687527
